"Bodega","Distrito","Aforo","Productos","Ventas1","Ventas2","Ventas3","Ventas4"
"sánscrito corderaje","San Borja",6,108,4531.63,5152.37,5494.83,5064.9
"romboédrico circunferencial","Villa María del Triunfo",9,140,5027.53,4721.35,4777.43,6279
"intrascendente desterminar","Breña",3,35,2093.31,1787.82,1679.65,1403.32
"bienllegada machincuepa","San Martin de Porres",4,62,955.1,1047,1229.5,1283.87
"platense corniveleto","Ate",12,197,1776.94,1607.1,1701.49,1519.92
"disléxico anamnesis","Los Olivos",11,168,3371.45,3431.29,4429.46,4137.91
"cantusear estrepitoso","Los Olivos",12,174,2192.65,2065.82,2012.36,2322.59
"presidente rabínico","Jesús María",13,207,2033.92,1898.54,1430.82,1603.64
"desincentivador vejezuelo","Surquillo",13,179,4441.97,4838.88,4494.63,4925.78
"maquilihue cachiporrero","San Juan de Lurigancho",6,73,1942.18,2370.06,2451.25,1863.07
"melgrana colmenar","Los Olivos",3,41,4963.56,5465.45,5073.76,5666.13
"esteticismo absorciómetro","La Molina",11,159,3001.81,2442.94,2256.12,2398.46
"desaliñado socinianismo","Puente Piedra",13,179,2651.95,3288.37,3407.66,2949.72
"astillero rabdomancia","San Juan de Lurigancho",12,190,2726.66,2157.9,2491.77,2389.37
"redrosaca bailador","San Juan de Lurigancho",3,49,1207.06,1311.02,1122.13,1288.61
"empantalonarse desconcertar","La Victoria",4,51,4867.33,4653.42,6034.78,5728.19
"revolver indisolubilidad","La Molina",3,51,2433.27,3154.25,2484,1897.91
"achucharse estrangular","San Martin de Porres",3,45,2053.26,1675.86,1956.18,2728.33
"encolador caluroso","La Victoria",2,24,1628.82,1705.69,1177.8,1112.45
"coextenderse desamortizable","San Martin de Porres",9,143,1035.53,1130.29,1108.5,1213.52
"camaleónico pícaramente","San Martin de Porres",3,41,2720.01,2126.06,2314.1,2661.57
"tirapiedras abroncar","El Agustino",8,121,4219.32,4008.58,4031.06,5225.65
"pitonazo confidente","San Juan de Lurigancho",3,38,1916.62,2002.21,2171.68,1813.27
"inverecundo desmoralizar","Ate",13,193,2258.05,2030.91,2293,1789.76
"contracultural clemente","San Martin de Porres",2,27,1086.63,1155.68,1857.63,1703.5
"sesquiáltero ponzoñosamente","Chorrillos",13,197,2007.31,2271.85,1995.7,1981.96
"alcaparrosa cebollada","San Juan de Lurigancho",11,192,3792.86,2815.2,3604.81,3183.96
"inmutación tocológico","Jesús María",9,144,1509.24,1481.76,1437.97,1093.97
"desbancar resarcible","San Isidro",3,45,2205.13,1802.42,2058.38,2006.75
"riguridad desvincular","San Juan de Miraflores",9,135,3377.51,3478.96,3559.12,3934.11
"incesantemente aparentador","Los Olivos",5,70,2769.63,2801.88,3109.11,2534.75
"almagradura embullar","San Martin de Porres",4,59,2936.21,3018.91,3268.09,3196.11
"baladrear persistir","San Martin de Porres",3,41,1020.5,1218.92,1280.94,1114.85
"cebadera espinaca","Lince",7,94,1450.34,1356.86,1035.74,1119.73
"desquilar escorpiano","Ate",7,97,2021.58,2259.47,2015.92,2036.15
"pordiosería nutrición","Santiago de Surco",3,43,1895.45,1831.17,2157.01,2195.55
"ineficazmente estreptocócico","Santiago de Surco",2,24,3439.64,3519.57,3751.24,3385.53
"camaronear salladura","Santiago de Surco",2,33,2670.14,1645.01,2135.64,1720.75
"hepatólogo majoleta","Los Olivos",3,44,2045.21,1972.16,1912.93,2269.43
"agrupable repugnante","Comas",2,25,1838.08,1098.19,1646.48,2155.08
"heterodoxo subtítulo","Miraflores",2,38,3064.83,2657.07,3607.54,3187.51
"paleontólogo destaconar","San Miguel",10,168,1979.56,1797.94,1674.36,1754.12
"actuación neptuniano","Puente Piedra",5,65,1399.66,1489.96,1537.31,1826.29
"indoméstico ribadoquín","San Martin de Porres",7,108,1566.76,1233.89,1280.95,1368.88
"retablero hircocervo","Villa María del Triunfo",2,37,1019.36,1206.72,1006.44,766.06
"aceituní agrifada","Santiago de Surco",13,194,1829.77,1660.45,1928.18,1574.01
"septisílabo cacahuatal","Comas",2,28,1909.62,1320.4,1711.45,1375.55
"esqueleto chuchoqueo","El Agustino",3,55,3443.2,3495.15,3805.98,3145.36
"torrefacto influenza","Villa María del Triunfo",5,74,2980.7,2466.4,2595.93,2115.32
"domesticación impurificar","Independencia",3,49,2415.5,3036.88,2846.17,3755.25
"vascofrancés campesino","San Martin de Porres",7,102,2159.97,2226.89,2106.88,2011.84
"carótida descartable","Chorrillos",5,70,3099.98,2683.11,3566.69,2591.14
"floretada trasvasar","San Miguel",3,35,3960.42,4025.03,4044.26,4740.84
"bocajarro ludopatía","Comas",3,41,2297.7,2013.81,2333.76,2478.89
"subnormalidad embullador","San Miguel",6,85,4794.11,4143.16,4387.69,4540.77
"predador peregrina","Ate",3,44,851.22,1080.6,1100.18,1313.74
"engrudar bacallao","Santa Anita",3,47,4136.54,4121.29,4227.03,5026.8
"pentagrama pasional","San Juan de Lurigancho",12,166,1728.5,1349.82,1376.6,1252.1
"cohesivo antropométrico","Puente Piedra",2,28,5252.92,5086.79,5178.65,4760.85
"ponderosamente bellardina","San Martin de Porres",4,59,1655.68,2221.42,2064.62,1983.69
"principiar desentumecimiento","Puente Piedra",9,112,2685.25,2084.01,2160.83,2619.95
"vesicular despedazar","Ate",6,85,2400.71,2855.4,1966.5,2508.13
"pailebote intemperante","Santiago de Surco",4,50,3380.12,3984.67,3549.35,3352.36
"azotable manferidor","San Juan de Lurigancho",2,30,4892.96,5182.33,5409.67,3925.94
"chocolatería onomasiología","Los Olivos",6,94,3495.65,3766.23,3555.9,3768.52
"anglicismo cocorronazo","Puente Piedra",9,140,1184.91,1442.26,989.22,1473.65
"arreciar proteínico","Surquillo",13,195,2605.82,1732.7,2213.43,2429
"sonrisueño ecologista","Comas",13,207,2216.39,2453.82,2369.22,2886.22
"reprobable cascarudo","Santa Anita",5,65,1949.79,1763,1308.93,1940.67
"negociado enflautar","Ate",3,48,2968.73,2741.05,2949.46,2627.28
"escantador afrancesado","San Martin de Porres",12,188,1749.08,1895.46,1960.18,2449.99
"averrugado manutergio","Comas",10,139,4254.84,4455.37,5159.94,5116.01
"blasfemia rostrillo","Ate",9,140,1814.01,2454.46,2225.48,2022.14
"tialismo zapatazo","Santa Anita",2,31,1084.7,1159.3,878.23,1024.83
"provincial ebulición","San Miguel",6,90,2583.12,2787.08,2633.25,2480.49
"ticuriche perrezno","Santiago de Surco",5,70,2295.78,2931.78,3037.27,2460.64
"tocororo borrominesco","Surquillo",12,187,2237.63,2606.29,2419.46,2077.16
"caballerear cangallo","San Martin de Porres",2,30,1484.85,1582.79,1420.48,1295.99
"resorción desatendible","Villa María del Triunfo",6,87,4710.42,4855.98,5296.08,4303.75
"sansalvadoreño baqueteo","Rimac",11,145,2017.54,1724.63,2153.54,2067.65
"pañolero sobresanar","Ate",5,71,1409.43,1646.47,1677.76,1528.17
"cañaverería morongueada","San Juan de Lurigancho",6,90,4842.88,4246.43,4766.58,4923.68
"pepenador totomochtle","Surquillo",13,179,4756.96,5050.82,5080.08,4667.29
"escabrosamente soflamero","San Juan de Lurigancho",7,114,3871.34,3350.85,3651.6,3389
"homiciano costelación","Comas",4,51,2122.06,2869.44,1947.14,1956.48
"capitoné gorrería","La Victoria",4,53,1648.54,1230.01,1179.19,1807.93
"automóvil espaldar","San Martin de Porres",13,206,1271.45,1274.18,1237.19,1151.72
"chamelotón atriaquero","La Victoria",11,165,2569.08,2705.31,2623.26,2806.01
"babuchero impensado","Villa María del Triunfo",9,151,4501.76,4664.58,4590.59,4052.18
"metrificador académico","San Juan de Lurigancho",2,21,3906.69,3606.46,3265.6,3815.6
"veredero tornadero","Los Olivos",4,51,3649.13,3618.85,3721.77,3685.71
"hanseático archilaúd","Ate",7,121,1147.84,1330.84,1505.97,1651.6
"fuerista atribución","Santiago de Surco",13,211,4342.99,4448.79,4893.07,3685.73
"colombicultura comejenera","El Agustino",3,36,2395.65,3015.09,2695.38,2653.75
"sobretítulo achiotillo","Comas",13,184,1692.28,1613.69,1704.33,1870.94
"santandereano predispuesto","Santiago de Surco",4,58,5215.6,4851.25,4455.31,5390.56
"verrugoso xenofobia","Puente Piedra",7,113,1328.67,1187.3,1047.96,1122.59
"espeleología cornijamiento","San Isidro",5,71,3434.82,2880.03,3286.58,2781.84
"dalmático juzgador","Ate",4,64,1963.03,2324.95,2053.05,2132.3
"chetumalense violador","San Borja",3,56,4703.7,4188.73,5353.47,4323.5
"cuarterola rastillar","Comas",3,52,3070.05,2885.25,3385.61,2754.4
"columnata indebidamente","Rimac",3,44,1561.86,1372.65,1640.02,1308.9
"caminata epigráfico","Independencia",5,76,4485.41,3963.67,4550.34,4354.3
"maravillar vitamina","Puente Piedra",8,114,2124.06,2147.73,2175.73,2022.67
"bazuquear atacable","Independencia",4,52,1692.78,1225.11,1492.67,1463.3
"padrenuestro polaquear","San Miguel",4,61,2846.35,2363.78,2904.53,2463.48
"procedente cedulario","Los Olivos",13,191,3020.31,3194.02,2513.18,2835.26
"valorización anochecida","Villa María del Triunfo",2,27,931.59,1019.7,964.34,825.71
"espoliación hondable","Santiago de Surco",13,182,3461.04,3752.79,3802.88,3679.14
"encáustico encordelar","San Martin de Porres",10,148,1664.08,1350.22,1555.05,1401.74
"telepatía enrubescer","Villa María del Triunfo",2,26,4529.74,3769.5,3900.87,4422.22
"menfítico vanistorio","Miraflores",3,47,1991.2,2507.58,2299.66,2058.69
"hipomoclio mataguayo","San Martin de Porres",2,24,4422.18,4801.58,4839.85,4457.15
"virginiano entradero","San Juan de Lurigancho",10,168,4074.59,4667.29,4824.25,4519.73
"aprehensivo redundancia","Comas",13,209,1611.01,1008.49,1399.72,1268.16
"caloricidad consubstancial","Miraflores",4,55,2793.97,2539.22,2355.44,3550.28
"arraiján oftalmólogo","San Juan de Miraflores",11,175,1759.37,1797.51,1386.12,1350.96
"descomulgador samotana","El Agustino",13,175,1908.84,2199.78,1631.01,1666.27
"satrapía fundamentar","Santiago de Surco",5,75,1783.29,1811.54,2169.63,2079.71
"valerosidad protervia","Puente Piedra",8,134,918.92,1270.73,1004.01,1076.66
"substantivamente pichanguear","Ate",13,180,1217.44,1178.26,1298.29,1033.96
"regalero adelantar","San Juan de Miraflores",7,103,965.22,1158.64,1152.67,897.01
"anteclásico duraznal","Jesús María",4,52,4432.99,4154.99,4428.04,4464.63
"intercambiar homenaje","Rimac",4,56,1646.83,1908.66,1724.14,1872.36
"terciopelo proteína","Ate",7,109,4562.33,4030.49,4084.62,4757.71
"retornelo cerebroespinal","San Juan de Lurigancho",6,96,1137.1,793.19,1024.93,947.2
"reformado aconchabarse","San Martin de Porres",4,71,1609.88,1830.64,1688.51,1617.73
"astigmático gallipava","Chorrillos",3,48,3385.62,4067.61,3529.83,3045.58
"harmoniosamente desratización","Villa María del Triunfo",3,48,2537.33,2280.33,2429.9,2607.48
"ineludiblemente trastrabarse","Ate",7,112,990.06,847.74,869.29,852.5
"ordenador favoritismo","Santiago de Surco",2,25,5065.01,3861.98,4084.18,3747.44
"eidético iniciado","Independencia",13,198,1007.02,1236.96,1010.74,1351.65
"blanquizal retropulsión","Ate",2,37,3862.34,3887.44,3296.62,3804.91
"intramuros difinición","San Juan de Lurigancho",8,116,1567.01,1567.98,1761.19,1301.83
"rasgador desarrugar","Rimac",4,67,2269.38,2408.82,1638.16,2070.63
"nocturnidad palastro","San Miguel",2,35,3465.33,3640.46,3087.02,3801.31
"implicancia morcella","Lince",13,214,1484.39,1592.23,1462.22,1516.56
"tatemada lisboeta","La Victoria",5,75,1804.33,2168.61,1992.74,1924.93
"quevedesco coriariáceo","Chorrillos",6,76,3211.47,3637.58,3392.63,3516.8
"antilogaritmo embrolloso","Ate",2,32,1924.66,2749.08,2181.21,2113.28
"ocasionado berlanga","Independencia",5,65,3454.06,3385.11,3423.11,3912.6
"desgobierno negociado","Santa Anita",3,45,2169.18,2578.53,2903.37,2888.19
"cinericio malrotar","Los Olivos",7,116,4522.78,4505.6,3772.12,4031.98
"varraquear pandereteo","Santiago de Surco",2,28,1293.99,1344.31,1554.93,1547.26
"asaltador estribor","Los Olivos",3,43,2101.07,2465,1963.37,1920.96
"contraseña asaetinado","Ate",2,26,2137.08,2120.38,1985.3,1834.17
"casquero acaserarse","Independencia",3,40,4016.87,4350.56,4725.65,5010.26
"alguinio esferista","Comas",13,203,1262.89,1238.09,1365.42,1318.43
"especificativo silvícola","Comas",9,136,1653.19,2024.19,1878.93,2111.05
"ponchada mixtifori","San Juan de Lurigancho",3,41,4682.96,4070.35,3766.4,3955.4
"calladamente superfluamente","Magdalena del Mar",8,118,984.85,685.24,863.23,1091.68
"braguillas badajada","Santa Anita",5,83,1162.96,1342.83,996.06,1180.31
"descompresor aguaviento","San Juan de Lurigancho",13,184,2151.06,1995.83,1786.1,2042.73
"franqueniáceo atrabajar","Breña",13,209,2139.31,1741.6,1943.3,2121.77
"eupéptico enruinecer","Chorrillos",11,181,2162.87,1951.81,1948.82,1486.91
"zabordamiento acarraladura","Ate",5,63,3206.17,2626.45,3013.83,2902.08
"rebulicio explosión","San Juan de Lurigancho",3,52,1052.59,1475.46,1726.22,1415.26
"desgracia cinerario","Santiago de Surco",8,121,4992.52,4926.36,4177.16,5057.07
"industrializar camanance","San Martin de Porres",6,75,4828.48,4930.17,4755.23,3952.32
"secamiento descompasadamente","San Juan de Miraflores",10,129,1389.14,1773.25,1539.6,1649.58
"anglístico unificar","Comas",13,185,2034.34,1979.23,2177.62,1962.08
"preclaro segregacionista","Miraflores",11,171,3469.71,3955.72,3892.13,3679.61
"maridable antiperistáltico","Puente Piedra",4,60,1045.97,1698.45,1633.29,1608.87
"emprestillar pañolería","Santa Anita",9,138,2689.3,1989.69,2147.18,3038.94
"retachar sindicato","Miraflores",9,127,2611.99,2953.17,2672.34,2649.35
"renacimiento abismático","Villa María del Triunfo",5,75,1142.45,1302.38,975.16,1221.08
"concuñado marioneta","San Martin de Porres",4,60,2925.57,2440.33,3053.3,2501.47
"empalizar rizófago","Rimac",7,111,2098.51,2300.74,2581.2,2417.78
"voladero exfoliante","Ate",2,35,1066.27,1794.02,1421.31,959.93
"arterial determinar","San Juan de Lurigancho",13,184,3238.61,4323.68,4704.17,3982.48
"pectoral colectivo","San Juan de Lurigancho",2,34,2212.31,1827.27,2543.83,1959.71
"populetano trigésimo","Villa María del Triunfo",4,65,2979.97,2370.5,2366.49,1962.36
"inestimado cachimbazo","San Martin de Porres",4,51,1139.38,1565.2,1438.67,1147.57
"acomodadizo ultrajador","Villa María del Triunfo",2,27,926.64,1206.53,1023.37,1015.87
"canaleto expurgación","Ate",13,188,1736.88,1718.44,2129.73,1684.28
"mastigador honoración","Santa Rosa",2,46,2195.23,2287.87,2141.84,1809.62
"gallinero milésimo","San Juan de Miraflores",2,24,2060.64,2824.32,3036.57,3007.84
"malnacido depresor","San Juan de Lurigancho",5,62,2036.53,2535.35,2069.65,2234.42
"patimuleño amonestación","Rimac",3,41,3049.21,2470.25,3205.88,2513.42
"mamarracho enculturación","Puente Piedra",13,182,2840.8,2921.96,3256.99,3160.64
"betlehemítico bruñidura","San Juan de Lurigancho",6,90,3302.03,3252.03,3108.21,2646.88
"decrépito fachinal","Independencia",4,64,2169.75,1977.59,2037.15,1909.88
"sericultura obduración","Magdalena del Mar",4,58,2949.27,2530.98,2974.15,3180.89
"vegetariano michelín","San Juan de Miraflores",5,64,2331.14,2524.06,2410.96,2025.64
"chihuahuense mesentérico","Villa María del Triunfo",13,205,1373.38,1335.3,1453.93,1242.55
"pentavalente electrocardiografía","San Juan de Lurigancho",5,66,3884.41,4519.2,4459.57,4463.41
"despiece bombonería","Santa Anita",4,62,2883.38,2375.11,2777.45,2807.92
"corógrafo mondaorejas","San Martin de Porres",3,57,1147.57,930.9,1186.8,864.48
"connotación perversamente","Surquillo",3,44,1991.29,2499.02,2265.11,2431.16
"engarzar cosicosa","La Molina",5,64,3055.45,3508.33,3490.11,3305.76
"noctámbulo vibráfono","Jesús María",13,197,1309.39,1740.69,1540.8,1910.49
"bolincha anticipadamente","Barranco",8,107,2588.35,2641.95,2234.92,2402.49
"acuartelamiento limpiachimeneas","Santa Anita",11,171,1507.29,1316.13,1206.88,1312.83
"enaciado ignífugo","San Martin de Porres",2,22,5598.38,4574.49,4698.4,4911.54
"lisonjar vergoñoso","La Victoria",2,33,3946.41,2968.4,3804.07,3992.59
"pavimentación bacteriología","Los Olivos",13,193,3719.64,2963.29,3404.8,3109.38
"rebombar expedienteo","Surquillo",2,27,2036.95,1899.31,1857.75,2268.17
"palangrista carbonoso","Villa María del Triunfo",3,56,2492.75,2183.45,2462.22,2086.8
"caducidad enseñador","El Agustino",3,55,1533.47,1797.35,1712.59,1777.83
"desmajolar tragamonedas","Villa María del Triunfo",3,39,3894.77,3563.58,4478.7,4960.99
"financiar casuístico","La Victoria",6,91,4966.81,5340.17,5564.98,5286.6
"tataretas enciclopedista","Villa María del Triunfo",9,143,1262.29,1495.18,1088.05,1132.28
"microfilmador poiquilotérmico","Villa María del Triunfo",5,72,4674.31,4115.92,4733.47,3831.31
"cucharal metalización","Ate",2,30,3940.35,3834.04,3823.05,4284.9
"caricaturesco heteroclisis","San Juan de Lurigancho",13,193,1169.28,923.81,1309.34,1164.55
"contramarca artífice","San Juan de Lurigancho",10,148,3634.96,3685.15,4006.97,3298.96
"embabucar modorrillo","Los Olivos",7,86,3838.66,3166.46,4088.57,4039.93
"encetadura radicalismo","San Martin de Porres",9,129,1615.7,1553.91,1566.25,1770.61
"antihelmíntico bezoárdico","Comas",6,95,1462.04,1304.77,1332.25,1079.54
"empacador teatralizar","Ate",2,29,778.29,1350.11,1534.91,1259.41
"interglaciar graduación","San Miguel",10,164,2715.02,2351.36,2325.33,2820.12
"enlobreguecer promocionar","San Martin de Porres",8,145,2363.1,1962.29,2221.69,2241.81
"banderizar desensamblar","Comas",2,33,2887.23,2635.43,2647.92,2731.43
"abonable ufología","San Juan de Lurigancho",6,76,2111.38,2292.95,2698.85,2519.3
"bisbirindo artrítico","San Miguel",8,125,3568.01,3113.98,2375.76,3152.38
"compresivo finquero","Santa Anita",13,197,4465.08,3916.02,4644.28,3728.34
"refracto mavorcio","San Juan de Lurigancho",13,203,2641.09,2838.24,2146.99,2808.36
"rutinario vertiginosamente","Comas",3,38,1094.18,1084.42,1143.72,1069.04
"subyugar termidor","Santa Anita",4,59,4680.25,3694.24,4652.97,4626.45
"colibacilo electromotor","Los Olivos",12,170,1657.24,1232.57,1823.74,2008.96
"estrafalario sotabarba","San Martin de Porres",4,57,3655.75,3492,3552.33,3551.29
"Contrarreforma nefrosis","Los Olivos",9,131,2581.99,2133.57,2712.53,2829.48
"mapurite rifarrafa","Santa Anita",4,58,1253.87,1403.15,1360.3,951.71
"pelícano desavezar","San Juan de Lurigancho",11,171,1063.13,851.09,1152.76,1552.61
"caperucear rodillero","Ate",4,70,4779.99,4839.4,4364.25,5073.08
"sinapismo hexaedro","San Borja",4,72,3277.39,3062.16,4048.37,3168.21
"miraguano miñambre","La Victoria",10,128,1870.18,1636.53,1592.88,1723.69
"acongojar ansiosidad","Miraflores",3,41,2466.77,3484.11,3092.01,3233.76
"prefigurar escaparatismo","Comas",7,105,2313.24,1599.5,2111.39,2118.97
"bituminoso incomparecencia","Santa Anita",5,95,982.05,1193.98,857.28,1213
"ciconiforme clavellina","La Victoria",5,66,4287.32,4803.82,4372.58,4170.65
"anubarrado arcilloso","Ate",2,28,4822.95,4028.72,5131.52,4782.62
"mercantilismo aunamiento","Chorrillos",9,140,2856.41,2685.55,2741.49,2788.45
"espaladinar fotovoltaico","Comas",2,36,2569.53,3234.57,2905.82,2534.75
"frecuentar tromboangitis","Villa María del Triunfo",8,125,1556.15,1652.62,1454.15,1389.65
"cloración cabañería","Independencia",6,84,1285.11,1508.49,1622.21,947.76
"cachimbear asolación","Rimac",3,50,898.56,1177.31,1452.41,1383.85
"fendiente desmembrar","La Molina",10,140,2952.39,2992.95,3487.68,2670.72
"cespitoso aplanado","Comas",4,76,1124.97,1044.47,878.82,957.26
"huilliche decepcionar","San Juan de Miraflores",3,42,1824.26,1660.74,2420.43,1726.86
"inundación hidropesía","Los Olivos",13,184,2065.92,1795.51,2193.1,2426.82
"cariedón zooplancton","La Victoria",5,70,1274.65,1102.27,1258.18,1308.49
"desfrute campestre","San Borja",6,89,2347.19,2391.44,1986.53,2049.79
"enervador acidaque","San Juan de Lurigancho",8,125,4851.52,4771.4,3979.01,4145.09
"estrujar iliberitano","San Juan de Lurigancho",13,206,1956.15,1484.5,2228.53,2376.67
"malhumorado chistera","Ate",7,120,2628.76,2373.97,2455.42,2421.71
"corajoso suspensivo","Santiago de Surco",4,78,2163.63,2099.58,2227.88,2160.87
"circularidad gualdrapero","Chorrillos",6,94,3870.25,3833.14,2767.31,3557.11
"descargue abogamiento","San Juan de Lurigancho",3,48,3745.04,3520.96,3790.77,4679.42
"punzadura adstrato","San Martin de Porres",13,200,1503.56,1349.03,1103.33,1571.29
"heterotrófico difteria","San Juan de Miraflores",2,35,1698.46,1594.26,1263.84,1801.97
"juntapuchos exhalador","San Martin de Porres",5,75,1317.21,1444.05,1207.92,1789.38
"caracterización devandicho","San Juan de Miraflores",13,197,2865.13,2750.63,2942.65,2456.48
"hiriente emblanquecimiento","Los Olivos",5,74,1379.91,1830.71,1738.25,1647.06
"palmarés tinajero","Puente Piedra",3,47,2858.48,3268.2,3216.87,3157.19
"mistificador montanero","Ate",4,59,4628.03,4854.98,4287.83,5019.66
"algarabiado tataretas","San Juan de Lurigancho",11,166,3288.81,3498.99,3218.76,3714.39
"automatismo pertiguería","La Victoria",11,154,3113.57,3052.19,2559.03,2811.06
"preceptiva esconder","San Juan de Lurigancho",3,39,2440.69,1491.31,2354.78,1700.41
"trastero desarbolar","Jesús María",5,73,1290.05,1089.97,1158.16,1192.16
"peonería mantequera","Miraflores",13,199,3234.24,2664.61,3040.82,2772.54
"etimológico escurreplatos","El Agustino",8,115,2565.03,1929.4,2580.35,2570.18
"avanzado trapalear","Ate",13,202,1091.14,1309.53,1203.27,1344.45
"ojinegro museólogo","San Juan de Lurigancho",5,68,1268.67,1739,1248.91,1824.2
"abolladura niquitoso","Puente Piedra",2,28,3861.29,3198.04,2794.85,3431.38
"aficionador galenista","Rimac",13,195,4610.34,5087.4,4710.38,4465.93
"hacedero honorificación","Chorrillos",6,84,5994.41,4079.86,5468.26,4950.13
"contextual zorrillo","Los Olivos",6,88,4908.7,4716.25,5196.24,4934.1
"tricéfalo travesío","La Victoria",2,35,1566.83,1555.84,1751.68,1658.93
"oscitancia catalítico","Ate",4,51,4667.91,4737.4,5369.12,4242.91
"andujareño hermanar","Comas",6,84,2682.13,1888.6,2641.84,2201.96
"guitarrista comprendedor","San Juan de Lurigancho",13,208,1273.64,874.78,1141.46,1154.26
"biruégano lastimero","San Martin de Porres",4,48,876.59,916.81,731.73,986.05
"galvánico espectro","Ate",4,61,870.5,1046.21,1075.63,960.24
"musculación saladillo","San Borja",13,206,5303.06,5855.82,5204.32,5780.08
"colmilludo carralero","San Juan de Miraflores",13,173,1449.88,1216.23,1537.32,1108.91
"molonquear amugronamiento","Jesús María",2,29,2768.78,3261.18,3359.28,3028.67
"fenotípico mayoritario","San Juan de Lurigancho",4,64,1551.04,1333.14,1747.48,1393.88
"captividad azufrador","Puente Piedra",6,93,4347.93,3567.55,5030.52,5027.28
"polarimetría apelable","Los Olivos",4,60,1942.89,1776.89,1702.83,1448.83
"carquiñol moscorra","Ate",8,133,3089.37,2872.94,3413.02,3339.11
"hurgamiento refrescador","Puente Piedra",13,203,3496.09,3222.69,2662.61,3397.99
"gambucero recabdamiento","Chorrillos",11,166,1943.09,1634.13,1649.7,2053.21
"escatófago estantal","San Juan de Miraflores",7,98,2801.68,2048.25,2182.92,1891.92
"subtitular panderetazo","Santiago de Surco",2,29,1943.34,2666.02,2401.99,1815.73
"montepiado musicógrafo","Ate",9,127,2869.69,3089.1,2763.04,2371.19
"nauseabundo entrecortadura","Villa María del Triunfo",10,132,2816,2175.12,2915.08,2844.03
"empuñadura aposentaduría","San Juan de Lurigancho",2,32,2727.81,2197.38,2802.64,1895.04
"miocardio inmaduro","Puente Piedra",13,206,2063.91,1683.35,2068.5,1553.65
"intransmutabilidad hurtadineros","Ate",2,37,2442.75,2873.35,2478.95,2253.38
"adiamiento alhuceña","Santa Anita",13,191,1509.48,1245.32,1715.34,1319.08
"delatable entintado","Chorrillos",6,101,2050.09,2175,2609.34,2192.75
"franchote languideza","Puente Piedra",3,54,2051.8,2330.49,1848.19,1761.61
"desnudar ejemplarizar","El Agustino",6,105,1067.95,1033.17,1213.26,1109.02
"alberchiguero sobremano","Santiago de Surco",2,26,1649.79,1526.21,1560.3,1947.18
"majadero caballerosidad","Comas",6,89,3362.24,3528.12,4216.24,4423.37
"pornográfico conglutinar","San Borja",2,34,2718,3827.07,2940.42,3366.6
"condicional gramaticalización","Santiago de Surco",4,49,2257.35,1709.75,1578.07,1888.76
"negatrón deprimir","San Miguel",10,136,4227.9,4927.72,5337.04,4677.25
"urografía astigmático","San Juan de Lurigancho",3,52,1049.86,1033.29,1147.64,854.74
"batanero garganteo","Santiago de Surco",13,186,3125.59,3719.35,3277.42,3466.93
"voluntariedad crocitar","San Juan de Miraflores",5,77,3212.66,2859.89,3637.51,3786.2
"allanabarrancos impresor","Comas",2,29,1890.53,1936.48,2222.52,1931.69
"angliparla desembozadamente","Villa María del Triunfo",3,43,1464.84,1797.28,1194.63,1533.31
"adversativo mariguana","Comas",7,98,1259.9,1240.87,1540.56,1493.7
"acristianado barranca","Independencia",3,43,3122.97,2971.25,3365.15,2871.56
"reverencial churuata","Villa María del Triunfo",13,186,1193.89,1166.4,1262.79,1474.09
"algebraico catastrófico","Puente Piedra",4,80,2325.94,1760.23,1996.91,2079.02
"granadero aprender","Independencia",8,122,1268.38,900.57,1275.75,1252.76
"encerrador parentético","Ate",10,151,1199.48,1304.66,1229.4,1383.52
"sufusión barbuquejo","San Juan de Miraflores",9,150,737.55,1190.47,1241.61,1137.99
"mantecoso pasibilidad","Los Olivos",13,183,1799.4,1705.62,1768.11,2159.81
"veeduría espesante","Santiago de Surco",10,134,3287.72,2708.4,2961.27,3277.85
"estresado sonsacamiento","Los Olivos",5,70,2027.22,2081.06,1525.8,1959.67
"pamentero tiratacos","Santiago de Surco",5,74,4776.93,4352.37,4576.37,4102.47
"tijeretear desconceptuación","Puente Piedra",7,94,2074.85,2296.61,1636.56,1772.42
"adotrinar despenar","Ate",4,55,751.34,622.27,923.68,750.89
"eslabonador elefante","Villa María del Triunfo",12,178,1085.05,1404.92,1459.67,1483.97
"teodolito alienígena","San Isidro",3,39,3226.15,2908.71,3207.42,3399.73
"afiligranado atacante","Santiago de Surco",5,86,3666.7,5247.97,5072.27,4257.23
"declinómetro alcantarillero","San Juan de Lurigancho",9,118,3669.67,4205.76,4177.9,4300.44
"corcoveta destemplar","Chorrillos",13,195,2450.41,2084.29,2173.89,2143.18
"ronquido granillo","Santiago de Surco",2,28,4227,4232.4,3289.14,3944.93
"yunguyino desgarrancharse","San Juan de Lurigancho",6,96,2627.41,2080.9,2108.25,2599.83
"distribución semántico","El Agustino",6,92,6391.58,4713.75,5434.35,5272.95
"contradictorio incertitud","Los Olivos",9,142,1781.21,2217.63,1459.47,1748.24
"humarazo escobillado","Los Olivos",3,47,2088.36,2029.09,1718.95,2045.12
"invulnerabilidad pósteramente","Los Olivos",2,34,3810.92,3105.93,3784.51,3834.64
"inalterado justiciador","San Martin de Porres",3,52,1661.63,2115.28,1694.78,2434.27
"catastrofismo colosense","Comas",2,32,2888.99,2946.15,3065.11,2890.1
